rank,name,streamers,viewers,avg_viewers_per_stream
1,Just Chatting,5294,370482,69.98
2,Minecraft,3119,189203,60.66
3,League of Legends,2478,128963,52.04
4,Rust,507,107176,211.39
5,Pokémon Community Game,72,93735,1301.88
6,ARC Raiders,3556,81939,23.04
7,IRL,455,81102,178.25
8,Grand Theft Auto V,2999,79873,26.63
9,Fortnite,6231,73167,11.74
10,Counter-Strike,2670,64789,24.27
11,Dota 2,1807,57515,31.83
12,VALORANT,3057,55374,18.11
13,World of Warcraft,963,45515,47.26
14,World of Tanks,382,44647,116.88
15,Clash Royale,156,41919,268.71
16,Escape from Tarkov,1235,41334,33.47
17,Call of Duty: Warzone,1941,39567,20.38
18,Dead by Daylight,2224,39169,17.61
19,Teamfight Tactics,608,38861,63.92
20,EA Sports FC 26,940,31854,33.89
21,Path of Exile 2,163,28594,175.42
22,Overwatch 2,912,25782,28.27
23,Slots,127,25670,202.13
24,Virtual Casino,43,24448,568.56
25,Warframe,323,23441,72.57
26,Marvel Rivals,1195,23112,19.34
27,Apex Legends,1391,16832,12.1
28,PUBG: BATTLEGROUNDS,805,16664,20.7
29,Destiny 2,403,16498,40.94
30,Special Events,94,15642,166.4
31,Cyberpunk 2077,197,15180,77.06
32,Hearthstone,152,12610,82.96
33,I'm on Observation Duty 8,27,12415,459.81
34,Ultimate Sheep Raccoon,11,12346,1122.36
35,Uncharted 4: A Thief's End,14,12200,871.43
36,Tom Clancy's Rainbow Six Siege X,752,12032,16.0
37,Battlefield 6,976,11918,12.21
38,Art,815,11773,14.45
39,ELDEN RING NIGHTREIGN,439,11357,25.87
40,Call of Duty: Black Ops 7,1087,11298,10.39
41,DJs,286,11294,39.49
42,Where Winds Meet,682,10613,15.56
43,FINAL FANTASY XIV ONLINE,444,9867,22.22
44,Talk Shows & Podcasts,310,9129,29.45
45,Dark Souls: Remastered,90,8540,94.89
46,Agreeee,4,8356,2089.0
47,Sports,156,8311,53.28
48,Legend of YMIR,99,7971,80.52
49,Always On,259,7919,30.58
50,Albion Online,159,7561,47.55
