rank,name,streamers,viewers,avg_viewers_per_stream
1,Just Chatting,5161,407706,79.0
2,Minecraft,2914,157242,53.96
3,League of Legends,2378,128805,54.17
4,Rust,496,105131,211.96
5,Pokémon Community Game,76,90681,1193.17
6,ARC Raiders,3445,86922,25.23
7,Grand Theft Auto V,2903,79429,27.36
8,IRL,450,69013,153.36
9,Fortnite,5489,59739,10.88
10,Dota 2,1807,59329,32.83
11,Counter-Strike,2545,57705,22.67
12,World of Tanks,386,54855,142.11
13,VALORANT,2924,47570,16.27
14,World of Warcraft,879,44834,51.01
15,Clash Royale,149,43485,291.85
16,Escape from Tarkov,1236,41626,33.68
17,Teamfight Tactics,642,40512,63.1
18,Dead by Daylight,2062,40450,19.62
19,Call of Duty: Warzone,1853,39259,21.19
20,EA Sports FC 26,920,35436,38.52
21,Marvel Rivals,1136,28689,25.25
22,Path of Exile 2,157,26700,170.06
23,Virtual Casino,48,24800,516.67
24,Warframe,297,24217,81.54
25,Slots,122,23302,191.0
26,Overwatch 2,864,22638,26.2
27,Destiny 2,366,17030,46.53
28,PUBG: BATTLEGROUNDS,794,16591,20.9
29,Apex Legends,1447,16529,11.42
30,Special Events,92,15239,165.64
31,I'm on Observation Duty 8,21,12930,615.71
32,Tom Clancy's Rainbow Six Siege X,737,12380,16.8
33,Uncharted 4: A Thief's End,15,12342,822.8
34,Ultimate Sheep Raccoon,8,11979,1497.38
35,Art,791,11801,14.92
36,Battlefield 6,929,11532,12.41
37,Call of Duty: Black Ops 7,1082,11135,10.29
38,Where Winds Meet,676,10940,16.18
39,Hearthstone,163,10528,64.59
40,DJs,270,10456,38.73
41,FINAL FANTASY XIV ONLINE,439,10164,23.15
42,ELDEN RING NIGHTREIGN,435,9300,21.38
43,Sports,166,9151,55.13
44,Dark Souls: Remastered,93,8880,95.48
45,Agreeee,4,8331,2082.75
46,Always On,258,7967,30.88
47,Tibia,358,7964,22.25
48,Albion Online,149,7912,53.1
49,Chess,91,7909,86.91
50,Legend of YMIR,105,7677,73.11
