rank,name,game_id,streamers,viewers
1,Just Chatting,509658,500,162644
2,League of Legends,21779,500,80053
3,Dota 2,29595,500,64242
4,Escape from Tarkov,491931,500,38710
5,Counter-Strike,32399,500,38119
6,ARC Raiders,464339927,500,34093
7,Rust,263490,203,34964
8,Minecraft,27471,500,33964
9,Grand Theft Auto V,32982,500,27727
10,Teamfight Tactics,513143,368,28789
11,I'm Only Sleeping,498592,275,27484
12,World of Warcraft,18122,475,24791
13,Overwatch 2,515025,500,23246
14,VALORANT,516575,500,19114
15,Dead by Daylight,491487,500,19909
16,Virtual Casino,29452,26,19097
17,IRL,509672,391,19111
18,Fortnite,33214,500,16160
19,Arena Breakout: Infinite,401587136,204,16218
20,Always On,499973,267,14950
21,PUBG: BATTLEGROUNDS,493057,302,15267
22,Pokémon Legends: Z-A,997367275,500,11729
23,World of Tanks,27546,162,11202
24,Hearthstone,138585,100,10519
25,Call of Duty: Warzone,512710,500,9908
26,Baldur's Gate 3,512923,67,9712
27,Sports,518203,72,10179
28,Ultimate Sheep Raccoon,485080528,2,9534
29,Art,509660,414,9107
30,Marvel Rivals,1264310518,500,8658
31,Apex Legends,511224,500,7984
32,EA Sports FC 26,624536948,374,8456
33,ELDEN RING NIGHTREIGN,982348888,231,8510
34,Street Fighter 6,55453844,181,8289
35,Slots,498566,53,7697
36,FINAL FANTASY XIV ONLINE,24241,402,7721
37,ASMR,509659,120,7522
38,Music,26936,459,7249
39,Battlefield REDSEC,1848745913,119,7219
40,Path of Exile 2,1702520304,76,7339
41,Genshin Impact,513181,300,6837
42,Warframe,66170,156,6789
43,Where Winds Meet,1630982727,150,6361
44,Chess,743,47,6182
45,Call of Duty: Black Ops 7,2012789438,468,6426
46,Albion Online,417528,60,5170
47,ELDEN RING,512953,176,5076
48,Retro,27284,164,4894
49,Legend of YMIR,889298168,75,4477
50,Palia,982017546,99,4393
