rank,id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
1,315201155186,49207184,fps_shaka,fps_shaka,245885780,Mamon King,live,告知をしたらLOLをする,12549,2025-12-10T08:50:11Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_fps_shaka-{width}x{height}.jpg,
2,315249169523,276504990,shinjifromjapanxd,しんじさん,245885780,Mamon King,live,マモンキング攻略最前線TV,4664,2025-12-10T14:42:04Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_shinjifromjapanxd-{width}x{height}.jpg,
3,315249803763,473688875,meiy_vl,Meiy_vl,516575,VALORANT,live,rank 1000,2221,2025-12-10T18:55:38Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_meiy_vl-{width}x{height}.jpg,
4,315247546227,165572706,dmf_kyochan,恭一郎,997367275,Pokémon Legends: Z-A,live,やるぞ！！！DLC！！！,1150,2025-12-10T08:12:49Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_dmf_kyochan-{width}x{height}.jpg,
5,315193947505,1023243630,mikami_kon,巫神こん,464339927,ARC Raiders,live,ARCRaiders 作業終わった！あと250万まったり貯める！！！🦊,753,2025-12-10T15:17:44Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_mikami_kon-{width}x{height}.jpg,
6,315203115122,239310118,reikira_,reikira_,509659,ASMR,live,耳舐めASMR垂れ流し💗完全睡眠導入💞絶対寝れる声無しだよ🐱今日も１日お疲れ様でした！『垂れ流し』,699,2025-12-10T16:31:25Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_reikira_-{width}x{height}.jpg,
7,315249643507,264909001,kagura0mea,神楽めあ,21779,League of Legends,live,乾燥で声がカサカサ、かわいくないって言わないで,671,2025-12-10T17:36:35Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_kagura0mea-{width}x{height}.jpg,
8,315194645361,497825111,yoichi_0v0,夜よいち,509658,Just Chatting,live,支度雑談→うまくいけば少し実写 │ !goods !bgm,661,2025-12-10T20:26:58Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yoichi_0v0-{width}x{height}.jpg,
9,315203337842,157825412,matsuri_hs,matsuri_hs,138585,Hearthstone,live,test,597,2025-12-10T18:04:27Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_matsuri_hs-{width}x{height}.jpg,
10,315203343218,106491108,mafuyumh1012,mafuyumh1012,21779,League of Legends,live,今、世界がヤバイ inq中まりごすさんが押し付けてきた知らんゲームやります,419,2025-12-10T18:07:40Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_mafuyumh1012-{width}x{height}.jpg,
11,315203110258,226535110,ukyochi_jp,Ukyochi_JP,367176203,Ale & Tale Tavern,live,#2 ワンオペ酒場経営【Ale & Tale Tavern】,404,2025-12-10T16:28:44Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_ukyochi_jp-{width}x{height}.jpg,
12,315203027570,239317918,recls_tft,りくるす,513143,Teamfight Tactics,live,チャレいくぞー,319,2025-12-10T15:57:00Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_recls_tft-{width}x{height}.jpg,
13,315194251889,121079066,washidai_,わしだい,21779,League of Legends,live,GM705LP～ ネチネチなし ただやるランク,291,2025-12-10T17:15:43Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_washidai_-{width}x{height}.jpg,
14,315194568177,101550452,imp3,imp3,21779,League of Legends,live,；；adc修行  master～ inqマモキン,264,2025-12-10T19:45:19Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_imp3-{width}x{height}.jpg,
15,315203726578,640727373,sumono33,すもの,6818,SUPER GHOULS'N GHOSTS,live,[JP/EN] 超魔界村 RTA 32:2X を目指す！ #233,254,2025-12-10T21:30:50Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_sumono33-{width}x{height}.jpg,
16,315192388977,159401590,alutemu_,Alutemu_,138585,Hearthstone,live,バトグラ AP 10628~ ういー,249,2025-12-10T09:47:39Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_alutemu_-{width}x{height}.jpg,
17,315194296433,779790900,november_aki,november_aki,5391,The Nightmare of Druaga: Fushigino Dungeon,live,[25/12/11] 海腹川背バズーカ → ドルアーガ 配信 [PC/PS2],220,2025-12-10T17:34:25Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_november_aki-{width}x{height}.jpg,
18,315194003697,542830589,r_k7den,かなででで,464339927,ARC Raiders,live,【ARC】日給100万で頼む,220,2025-12-10T15:35:31Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_r_k7den-{width}x{height}.jpg,
19,315203626866,921777344,hanmener1,はんめん,515025,Overwatch 2,live,【420日】初心者が”グランド”マスター行くまで毎日配信する。出来なきゃ就職 2689時間～,205,2025-12-10T20:34:22Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hanmener1-{width}x{height}.jpg,
20,315202722418,276012445,lilimaruriri,りりまる,491931,Escape from Tarkov,live,【✅️Drops】PvE Lv16 重大な選択をした！ストーリータスク攻略メイン┃今日でLv20(フリマ制限緩和)行けるかな？【Self wipe/Kappa＆全タスク攻略データ削除済】,190,2025-12-10T14:25:29Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_lilimaruriri-{width}x{height}.jpg,
21,315192652913,456708376,minyaseptember,MinyaSeptember,1264310518,Marvel Rivals,live,まったりよる,188,2025-12-10T10:58:14Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_minyaseptember-{width}x{height}.jpg,
22,315203081202,445749299,yupipiii_,ゆぴぴちゃん,491931,Escape from Tarkov,live,【🎁Drops】P2/40Lv｜KAPPAそっちのけでストーリーしちゃう…,187,2025-12-10T16:17:51Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yupipiii_-{width}x{height}.jpg,
23,315194622321,522753458,sley1206,すり_,515025,Overwatch 2,live,[VARREL]チャンピオン１挑戦(日本語で質問大丈夫です),179,2025-12-10T20:15:15Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_sley1206-{width}x{height}.jpg,
24,315202739954,219061479,tensai_akihiro,天才アキヒロ,245885780,Mamon King,live,雑談ののちマモン,179,2025-12-10T14:29:09Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_tensai_akihiro-{width}x{height}.jpg,
25,315190915953,555357855,byodoji,平等寺,499973,Always On,live,四国八十八ヶ所・平等寺｜心と身体を癒すリモート参拝（Byodoji Live）,151,2025-12-10T00:56:20Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_byodoji-{width}x{height}.jpg,
26,315247937395,177087100,tqmo__,たも__,491931,Escape from Tarkov,live,"【P4,Lv.55】プレステージ５。また始まる",150,2025-12-10T10:23:26Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_tqmo__-{width}x{height}.jpg,
27,315203189746,196691714,mihawk_ow,Mihawk_ow,515025,Overwatch 2,live,シーズン初めなのでDPSします,142,2025-12-10T17:00:51Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_mihawk_ow-{width}x{height}.jpg,
28,315194251249,106154118,hitohira_hana,Hitohira_Hana,504502,Rhythm Doctor,live,chill nighto,139,2025-12-10T17:15:34Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hitohira_hana-{width}x{height}.jpg,
29,315194459761,473507231,kcal_bibo,カロリー,490147,Hollow Knight,live,こんばんは12月になりましたね【Hollow Knight】4日目,138,2025-12-10T18:50:35Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_kcal_bibo-{width}x{height}.jpg,
30,315194347249,1403395598,jyocho,jyocho,512864,Eternal Return,live,アドバイス欲しい！初心者ダルコの一般練習,136,2025-12-10T17:57:28Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_jyocho-{width}x{height}.jpg,
