rank,name,streamers,viewers
1,Just Chatting,107,30976
2,Escape from Tarkov,134,8897
3,Street Fighter 6,82,8604
4,League of Legends,121,7860
5,VALORANT,299,4380
6,ARC Raiders,110,3873
7,Overwatch 2,117,3721
8,Resident Evil 2,1,3470
9,Apex Legends,374,2190
10,Mamon King,8,1822
11,Teamfight Tactics,24,1729
12,Dead by Daylight,63,1278
13,Pokémon Trading Card Game Pocket,4,1182
14,Eternal Return,11,1100
15,FINAL FANTASY XIV ONLINE,85,1100
16,ELDEN RING NIGHTREIGN,24,911
17,Hearthstone,2,804
18,Art,42,801
19,ASMR,18,616
20,Black Desert,12,503
21,Monster Hunter Wilds,113,486
22,Honkai: Star Rail,54,481
23,7 Days to Die,10,477
24,Path of Exile 2,24,388
25,Delta Force,16,367
26,IRL,3,300
27,Retro,11,297
28,World of Tanks,6,241
29,Shadowverse: Worlds Beyond,4,228
30,Tom Clancy's The Division 2,7,191
31,Music,9,191
32,Always On,5,179
33,Splatoon 3,20,172
34,Dark and Darker,3,172
35,Minecraft,40,143
36,Genshin Impact,25,143
37,Backpack Battles,2,138
38,Strinova,6,136
39,R.E.P.O.,19,134
40,2XKO,2,131
41,Battlefield 6,15,129
42,Marvel Rivals,9,121
43,Kirby Air Riders,1,118
44,Fortnite,34,114
45,Tom Clancy's Rainbow Six Siege X,18,109
46,Co-working & Studying,5,106
47,Phoenix Wright: Ace Attorney - Dual Destinies,1,87
48,Pokémon Legends: Z-A,22,86
49,Rust,7,81
50,World of Warships,2,80
