rank,name,game_id,streamers
1,Fortnite,33214,5041
2,Just Chatting,509658,4888
3,ARC Raiders,464339927,3102
4,VALORANT,516575,2913
5,Minecraft,27471,2783
6,Grand Theft Auto V,32982,2732
7,Counter-Strike,32399,2446
8,League of Legends,21779,2290
9,Dead by Daylight,491487,1841
10,Dota 2,29595,1765
11,Call of Duty: Warzone,512710,1726
12,Apex Legends,511224,1489
13,Escape from Tarkov,491931,1163
14,Marvel Rivals,1264310518,1021
15,Call of Duty: Black Ops 7,2012789438,970
16,EA Sports FC 26,624536948,852
17,Battlefield 6,168648543,835
18,Overwatch 2,515025,795
19,Art,509660,786
20,PUBG: BATTLEGROUNDS,493057,717
21,Tom Clancy's Rainbow Six Siege X,460630,705
22,World of Warcraft,18122,699
23,Where Winds Meet,1630982727,696
24,Teamfight Tactics,513143,652
25,Rust,263490,482
26,IRL,509672,458
27,FINAL FANTASY XIV ONLINE,24241,458
28,ELDEN RING NIGHTREIGN,982348888,423
29,World of Tanks,27546,361
30,Tibia,19619,340
31,Warframe,66170,272
32,Always On,499973,260
33,DJs,1669431183,240
34,Destiny 2,497057,205
35,Street Fighter 6,55453844,157
36,Path of Exile 2,1702520304,147
37,Hearthstone,138585,145
38,Clash Royale,491168,140
39,Albion Online,417528,140
40,Sports,518203,138
41,Legend of YMIR,889298168,107
42,Slots,498566,104
43,Chess,743,94
44,Pokémon Community Game,329951934,81
45,Special Events,509663,78
46,Virtual Casino,29452,39
47,I'm on Observation Duty 8,394740720,21
48,Uncharted 4: A Thief's End,458641,13
49,Ultimate Sheep Raccoon,485080528,8
50,Agreeee,167365321,5
